taxonomia_id,sistema,componente,descripcion_estandar,activo,created_at,id_modo_falla,subsistema,aplica_combustion,aplica_hibrido,aplica_electrico
dc40a1ae-f2cb-4138-b110-6c42f1c1ebb4,refrigeracion,radiador,Fuga en radiador,True,2026-05-31 04:23:17.257255+00:00,2,intercambio,True,True,True
068162ad-cf53-4938-87c7-8f2bba8d330e,refrigeracion,radiador,Obstruccion en radiador,True,2026-05-31 04:23:17.257255+00:00,3,intercambio,True,True,True
3a37ed0f-a553-4285-a80f-574006ee2def,refrigeracion,radiador,Sobrecalentamiento en radiador,True,2026-05-31 04:23:17.257255+00:00,9,intercambio,True,True,True
05691c8c-b3ae-4e77-b957-51188d8a5a38,refrigeracion,bomba_agua,Fuga en bomba agua,True,2026-05-31 04:23:17.257255+00:00,2,circulacion,True,True,True
acab20d7-05fb-4b1c-a943-036d259e88c4,refrigeracion,bomba_agua,No funciona en bomba agua,True,2026-05-31 04:23:17.257255+00:00,14,circulacion,True,True,True
5481903b-ca2d-4f51-9d4f-4fbdd11eb167,refrigeracion,bomba_agua,Ruido en bomba agua,True,2026-05-31 04:23:17.257255+00:00,12,circulacion,True,True,True
64fa6304-7f56-42d1-8696-c5c48e6bec35,refrigeracion,termostato,No funciona en termostato,True,2026-05-31 04:23:17.257255+00:00,14,control_termico,True,True,True
c2c4c4b9-d0a9-4e04-a7cb-7542459a6309,refrigeracion,termostato,Sobrecalentamiento en termostato,True,2026-05-31 04:23:17.257255+00:00,9,control_termico,True,True,True
8c189596-82ba-4286-ab3f-130a114da163,refrigeracion,mangueras,Fuga en mangueras,True,2026-05-31 04:23:17.257255+00:00,2,conduccion,True,True,True
ecca40cc-af20-4509-a193-fa34117f751f,refrigeracion,mangueras,Rotura en mangueras,True,2026-05-31 04:23:17.257255+00:00,4,conduccion,True,True,True
14ee9d85-2d16-4f42-a61b-ff651073cbd4,refrigeracion,ventilador,Ventilador falla en ventilador,True,2026-05-31 04:23:17.257255+00:00,55,ventilacion,True,True,True
bd65efb1-e26f-40f8-9ea2-2f23e805f23e,refrigeracion,ventilador,No funciona en ventilador,True,2026-05-31 04:23:17.257255+00:00,14,ventilacion,True,True,True
176bc5dd-76e5-4cb6-9863-3e53712584e5,refrigeracion,refrigerante,Bajo nivel en refrigerante,True,2026-05-31 04:23:17.257255+00:00,11,fluido,True,True,True
2c77f267-8ba0-48e7-b306-35535eecf55f,refrigeracion,refrigerante,Contaminacion en refrigerante,True,2026-05-31 04:23:17.257255+00:00,8,fluido,True,True,True
165c5972-3ee9-4e7d-ae7f-cb3c71a154ff,refrigeracion,refrigerante,Fuga en refrigerante,True,2026-05-31 04:23:17.257255+00:00,2,fluido,True,True,True
ad2ef224-5f43-4bc2-ad75-6c5c44d6eae5,combustible_admision,bomba_combustible,Baja presion en bomba combustible,True,2026-05-31 04:23:17.257255+00:00,10,alimentacion,True,True,False
84ed9bba-7b0a-4df5-af6a-9a4e4cb6ab6f,combustible_admision,bomba_combustible,No funciona en bomba combustible,True,2026-05-31 04:23:17.257255+00:00,14,alimentacion,True,True,False
ea9463a5-1d7a-4d97-84f4-730a3d632492,combustible_admision,bomba_combustible,Contaminacion en bomba combustible,True,2026-05-31 04:23:17.257255+00:00,8,alimentacion,True,True,False
b0f8f6db-23d0-48d3-ab73-c1b0db26d9ee,combustible_admision,filtro_combustible,Obstruccion en filtro combustible,True,2026-05-31 04:23:17.257255+00:00,3,filtracion,True,True,False
d055da44-1ecf-4b9e-a4db-efd81d00cbe3,combustible_admision,filtro_combustible,Contaminacion en filtro combustible,True,2026-05-31 04:23:17.257255+00:00,8,filtracion,True,True,False
38f97d82-689f-464c-9084-aba32372b729,combustible_admision,inyectores,Obstruccion en inyectores,True,2026-05-31 04:23:17.257255+00:00,3,inyeccion,True,True,False
9be74cbe-bd0d-4935-9193-e63ec3aaff6d,combustible_admision,inyectores,Fuga en inyectores,True,2026-05-31 04:23:17.257255+00:00,2,inyeccion,True,True,False
c8d1ff3b-569f-478d-97bc-8656577405d4,combustible_admision,inyectores,Mezcla incorrecta en inyectores,True,2026-05-31 04:23:17.257255+00:00,40,inyeccion,True,True,False
2d470123-e268-47e3-907e-306c5dabd3eb,combustible_admision,riel_comun,Baja presion en riel comun,True,2026-05-31 04:23:17.257255+00:00,10,inyeccion,True,True,False
